,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
442600,Spices Tandoori Takeaway,Pass,,,,2014-06-25,55.934277,-4.689769
442601,Spinnaker Hotel,Pass,,,,2014-01-13,55.955314,-4.830379
442602,St Andrews Primary School,Pass,,,,2014-01-31,55.945032,-4.815004
442603,St Columba Church,Pass,,,,2010-09-08,55.892124,-4.627684
442604,St Columba Church Playgroup,Pass,,,,2014-11-21,55.892124,-4.627684
442605,St Columbas High School,Pass,,,,2014-02-24,55.953481,-4.820168
442606,St Columba's Junior School,Pass,,,,2014-03-24,55.892441,-4.635127
442607,St Columba's Secondary School,Pass,,,,2014-03-21,55.892441,-4.635127
442608,St Francis Primary School,Pass,,,,2014-01-14,55.922176,-4.6597
442609,St John's Church Hall,Pass,,,,2014-11-19,55.934663,-4.693095
442610,St Johns Primary School,Pass,,,,2012-02-08,55.935116,-4.701149
442611,St Joseph's Primary School,Pass,,,,2014-01-23,55.944195,-4.79774
442612,St Lawrences Social Club,Pass,,,,2010-03-23,55.941073,-4.747577
442613,St Margaret's Court,Pass,,,,2015-01-19,55.947599,-4.793901
442614,St Mary's Primary School,Pass,,,,2014-01-16,55.952659,-4.76482
442615,St Michaels Primary School,Pass,,,,2014-01-28,55.927247,-4.665859
442616,St Ninians Primary School,Pass,,,,2014-02-17,55.951082,-4.822845
442617,St Patricks Primary School,Pass,,,,2014-01-28,55.942404,-4.768397
442618,St. Fillans Church,Pass,,,,2015-02-03,55.89381,-4.62447
442619,Star Hotel,Improvement Required,,,,2010-03-04,55.93379,-4.688631
442620,Station Bar,Pass,,,,2013-08-16,55.876068,-4.888389
442621,Station News,Pass,,,,2014-12-01,55.93379,-4.688631
442622,Stepwell Fresh,Pass,,,,2014-02-11,55.948648,-4.758526
442623,Stevie's Shop,Pass,,,,2014-09-16,55.952718,-4.827146
442624,Stewart's Store,Pass,,,,2013-09-17,55.936864,-4.824725
442625,Strathclyde Police,Pass,,,,2010-06-08,55.947082,-4.751383
442626,Subway,Pass,,,,2011-05-18,55.949317,-4.761153
442627,Super Chef,Improvement Required,,,,2014-07-14,55.934183,-4.690371
442628,Superdrug Stores Plc.,Pass,,,,2010-09-06,55.948648,-4.758526
442629,Sutherland Bar,Pass,,,,2014-12-03,55.934183,-4.690371
442630,Suzy's Scran Van,Pass,,,,2014-11-27,55.952148,-4.763998
442631,T Mobile (Everything Everywhere),Pass,,,,2013-09-25,55.944852,-4.742944
442632,Taj Mahal,Pass,,,,2014-05-28,,
442633,Tandoori Shack,Pass,,,,2014-03-20,55.941467,-4.76809
442634,Taste Of America,Pass,,,,2014-03-20,55.949277,-4.759308
442635,Tasty Spot,Pass,,,,2014-06-09,55.949952,-4.761711
442636,Terry's Bakers,Pass,,,,2014-11-12,55.959907,-4.816661
442637,Tesco (Filling Station),Pass,,,,2010-03-23,55.930105,-4.642552
442638,Tesco Extra,Pass,,,,2014-09-22,55.936649,-4.739883
442639,Tesco Extra,Pass,,,,2014-11-20,55.930105,-4.642552
442640,Tesco Family Dining Ltd,Pass,,,,2014-11-20,55.951441,-4.760247
442641,Tesco Family Dining Ltd,Improvement Required,,,,2014-11-20,55.930105,-4.642552
442642,Tesco Filling Station,Pass,,,,2010-03-23,55.950857,-4.761007
442643,Texas Instruments (UK) Ltd - Staff Restaurant,Pass,,,,2014-10-17,55.945614,-4.830039
442644,The Albany,Pass,,,,2013-09-16,55.946708,-4.769665
442645,The Bay Hotel,Pass,,,,2014-07-09,55.947497,-4.750884
442646,The Beacon Bistro & Bar,Improvement Required,,,,2015-01-07,,
442647,The Bluebird Cafe,Pass,,,,2014-09-09,55.956146,-4.806967
442648,The Cardwell Inn,Pass,,,,2013-12-13,55.956498,-4.804557
442649,The Chefs Eye Ltd - Gourock Golf Club,Pass,,,,2014-05-30,55.950854,-4.839009
442650,The Chicane Cafe,Pass,,,,2014-09-05,,
442651,The Cookschool At Stepwell,Pass,,,,2014-02-11,55.952107,-4.760599
442652,The Co-operative Food,Pass,,,,2015-01-20,55.893366,-4.628008
442653,The Co-operative Pharmacy,Pass,,,,2010-03-04,55.945301,-4.759458
442654,The Cottage,Pass,,,,2014-01-14,55.939755,-4.719489
442655,The Exchange Wine Bar & Bistro,Improvement Required,,,,2015-01-06,55.94703,-4.760926
442656,The Fishing Shop,Exempt,,,,2012-07-03,55.952873,-4.769321
442657,The Gourock Butcher,Pass,,,,2014-07-09,55.959907,-4.816661
442658,The Hub Cafe,Pass,,,,2014-01-06,55.893366,-4.628008
442659,The Hungry Hut,Pass,,,,2013-10-28,55.919467,-4.658202
442660,The Italian Club,Pass,,,,2011-03-22,55.952873,-4.769321
442661,The James Watt,Pass,,,,2014-08-19,55.936649,-4.739883
442662,The Kafay,Pass,,,,2014-10-28,55.92512,-4.665313
442663,The Manzil,Pass,,,,2012-10-02,55.934277,-4.689769
442664,The Norseman,Pass,,,,2011-03-21,55.939172,-4.727135
442665,The Platter Merchant,Pass,,,,2014-11-18,55.952148,-4.763998
442666,The Point,Improvement Required,,,,2014-03-11,55.944234,-4.731928
442667,The Regent Club,Pass,,,,2014-01-15,55.949857,-4.75991
442668,The Station Cafe,Pass,,,,2013-08-16,55.876068,-4.888389
442669,The Unity Club,Pass,,,,2010-03-12,55.925572,-4.657676
442670,The Victoria Bar,Pass,,,,2011-01-24,55.959907,-4.816661
442671,The Village Newsagent,Pass,,,,2010-07-01,55.893839,-4.628152
442672,The Waterline,Pass,,,,2014-11-26,55.947104,-4.754412
442673,The Waterwheel,Pass,,,,2014-07-22,,
442674,The West End,Pass,,,,2014-08-26,55.960977,-4.780636
